SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
2046251,AAPL,Apple Inc.,465562792,"$87,465,281,733.04 ",6.362010763,"Technology Hardware, Storage & Periphera",US,---
2588173,MSFT,Microsoft Corp.,231670551,"$75,932,339,795.76 ",5.523132762,Systems Software,US,---
2000019,AMZN,Amazon.com Inc.,271726243,"$37,500,938,796.43 ",2.727726608,Broadline Retail,US,---
2379504,NVDA,NVIDIA Corp.,73199052,"$36,127,392,114.60 ",2.62781818,Semiconductors,US,---
BYVY8G0,GOOGL,Alphabet Inc. Class A,185083258,"$25,202,787,241.86 ",1.83318913,Interactive Media & Services,US,---
B616C79,TSLA,Tesla Inc.,83923636,"$21,659,011,978.88 ",1.575423581,Automobile Manufacturers,US,---
BYY88Y7,GOOG,Alphabet Inc. Class C,155571813,"$21,367,788,515.55 ",1.554240698,Interactive Media & Services,US,---
B7TL820,META,Facebook Inc. Class A,68917653,"$20,392,044,346.17 ",1.483267452,Interactive Media & Services,US,---
2073390,BRK.B,Berkshire Hathaway Inc. Class B,55524718,"$20,000,003,423.60 ",1.454751354,Multi-Sector Holdings,US,---
2516152,LLY,Eli Lilly & Co.,26617388,"$14,751,356,429.60 ",1.072977603,Pharmaceuticals,US,---
2326618,XOM,Exxon Mobil Corp.,125975023,"$14,007,162,807.37 ",1.018846779,Integrated Oil & Gas,US,---
2917766,UNH,UnitedHealth Group Inc.,29005192,"$13,823,294,403.36 ",1.005472641,Managed Health Care,US,---
2190385,JPM,JPMorgan Chase & Co.,91058270,"$13,324,556,649.10 ",0.969195676,Diversified Banks,US,---
B2PZN04,V,Visa Inc. Class A,49979561,"$12,278,978,546.48 ",0.893142881,Transaction & Payment Processing Service,US,---
2475833,JNJ,Johnson & Johnson,75026723,"$12,130,320,574.64 ",0.882329863,Pharmaceuticals,US,---
BDZ78H9,AVGO,Broadcom Inc.,12989692,"$11,988,056,849.88 ",0.871981948,Semiconductors,US,---
2704407,PG,Procter & Gamble Co.,73441716,"$11,334,994,447.44 ",0.824479785,Household Products,US,---
B121557,MA,Mastercard Inc. Class A,26355076,"$10,875,158,560.64 ",0.791032447,Transaction & Payment Processing Service,US,---
2434209,HD,Home Depot Inc.,31323830,"$10,346,261,049 ",0.752561735,Home Improvement Retail,US,---
2838555,CVX,Chevron Corp.,56469853,"$9,097,293,318.30 ",0.661714875,Integrated Oil & Gas,US,---
2778844,MRK,Merck & Co. Inc.,79054395,"$8,615,347,967.10 ",0.626659349,Pharmaceuticals,US,---
B92SR70,ABBV,AbbVie Inc.,54964358,"$8,077,562,051.68 ",0.587542116,Biotechnology,US,---
2008154,ADBE,Adobe Inc.,14289354,"$7,992,607,266.36 ",0.581362713,Application Software,US,---
2681511,PEP,PepsiCo Inc.,42905400,"$7,633,728,768 ",0.555258768,Soft Drinks & Non-alcoholic Beverages,US,---
2701271,COST,Costco Wholesale Corp.,13816038,"$7,588,873,352.64 ",0.551996095,Consumer Staples Merchandise Retail,US,---
2936921,WMT,Walmart Inc.,46241910,"$7,519,396,985.10 ",0.546942554,Consumer Staples Merchandise Retail,US,---
2206657,KO,Coca-Cola Co.,121243253,"$7,253,983,826.99 ",0.527637049,Soft Drinks & Non-alcoholic Beverages,US,---
2886907,TMO,Thermo Fisher Scientific Inc.,12017199,"$6,694,781,562.90 ",0.486962044,Life Sciences Tools & Services,US,---
2198163,CSCO,Cisco Systems Inc./Delaware,114280237,"$6,553,971,591.95 ",0.476719871,Communications Equipment,US,---
2310525,CRM,Salesforce Inc.,29593314,"$6,553,735,318.44 ",0.476702685,Application Software,US,---
2550707,MCD,McDonald's Corp.,22759244,"$6,398,761,450.60 ",0.465430265,Restaurants,US,---
B4BNMY3,ACN,Accenture plc Class A,19676359,"$6,370,614,753.43 ",0.463382943,IT Consulting & Other Services,IE,---
2684703,PFE,Pfizer Inc.,175872059,"$6,222,353,447.42 ",0.452598778,Pharmaceuticals,US,---
2044545,CMCSA,Comcast Corp. Class A,129544996,"$6,057,524,012.96 ",0.440609488,Cable & Satellite,US,---
2295677,BAC,Bank of America Corp.,211056561,"$6,050,991,603.87 ",0.440134336,Diversified Banks,US,---
2857817,NFLX,Netflix Inc.,13845035,"$6,004,314,778.80 ",0.436739178,Movies & Entertainment,US,---
BNZHB81,LIN,Linde plc,15278548,"$5,913,409,217.92 ",0.43012693,Industrial Gases,IE,---
2002305,ABT,Abbott Laboratories,54208015,"$5,578,004,743.50 ",0.405730428,Health Care Equipment,US,---
2661568,ORCL,Oracle Corp.,46264088,"$5,569,733,554.32 ",0.405128802,Systems Software,US,---
2250870,DHR,Danaher Corp.,20689337,"$5,482,674,305 ",0.398796325,Life Sciences Tools & Services,US,---
2007849,AMD,Advanced Micro Devices Inc.,50158224,"$5,302,727,441.28 ",0.38570743,Semiconductors,US,---
2649100,WFC,Wells Fargo & Co.,116898978,"$4,826,758,801.62 ",0.351086635,Diversified Banks,US,---
2270726,DIS,Walt Disney Co.,56902084,"$4,761,566,389.12 ",0.346344698,Movies & Entertainment,US,---
2885409,TXN,Texas Instruments Inc.,28290641,"$4,754,525,126.46 ",0.345832534,Semiconductors,US,---
B2PKRQ3,PM,Philip Morris International Inc.,48350190,"$4,644,519,251.40 ",0.337830976,Tobacco,US,---
2463247,INTC,Intel Corp.,129942176,"$4,566,168,064.64 ",0.332131902,Semiconductors,US,---
2180201,CAT,Caterpillar Inc.,16052094,"$4,512,725,186.22 ",0.328244598,Construction Machinery & Heavy Transportation Equipment,US,---
2685717,COP,ConocoPhillips,37763694,"$4,495,012,496.82 ",0.32695622,Oil & Gas Exploration & Production,US,---
2459020,INTU,Intuit Inc.,8286898,"$4,489,924,205.38 ",0.32658611,Application Software,US,---
2023607,AMGN,Amgen Inc.,16647130,"$4,267,325,304.20 ",0.31039481,Biotechnology,US,---
2536763,LOW,Lowe's Cos. Inc.,18448034,"$4,251,902,876.32 ",0.30927302,Home Improvement Retail,US,---
2328915,NEE,NextEra Energy Inc.,63057571,"$4,212,245,742.80 ",0.306388457,Electric Utilities,US,---
2108601,BA,Boeing Co.,18735270,"$4,197,262,538.10 ",0.305298616,Aerospace & Defense,US,---
2914734,UNP,Union Pacific Corp.,19005194,"$4,191,975,640.58 ",0.30491406,Rail Transportation,US,---
2005973,IBM,International Business Machines Corp.,28290493,"$4,153,893,087.19 ",0.302144028,IT Consulting & Other Services,US,---
2090571,VZ,Verizon Communications Inc.,117889042,"$4,123,758,689.16 ",0.299952126,Integrated Telecommunication Services,US,---
2126335,BMY,Bristol-Myers Squibb Co.,65466576,"$4,036,014,410.40 ",0.293569821,Pharmaceuticals,US,---
